required_variable,found_in_raw,missing_from_raw
PUMFID,True,False
WGHT_PER,True,False
DV_PROXY,True,False
PAR_10,True,False
HAP_10C,True,False
CRH_20,True,False
CRH_30,True,False
CRH_60,True,False
AGEGR10,True,False
SEX,True,False
MARSTAT,True,False
LIVARR08,True,False
PRV,True,False
COW_10,True,False
WTI_110,True,False
NWE_110,True,False
UHW_16GR,True,False
UCA_10,True,False
FWA_134,True,False
FWA_137,True,False
APR_10,True,False
APR_20,True,False
APR_30,True,False
APR_40,True,False
APR_50,True,False
APR_60,True,False
APR_70,True,False
APR_80,True,False
ARV_10,True,False
ARX_10,True,False
TTLINCG1,True,False
FAMINCG1,True,False
CHC_100,True,False
PRA_10GR,True,False
