feature,missing_rate
RES_10,0.8611061392518347
CHC_110S,0.7941650259531055
CHC_110K,0.7941650259531055
FWA_137,0.5645247896903526
FWA_134,0.48988723823160907
WTI_110,0.4750313227134419
NWE_110,0.36226955432253444
COW_10,0.3610166457848577
UHW_16GR,0.3601217111150886
ARV_40,0.3542151422946125
UCA_10,0.35224628602112046
ARV_10,0.33040988007875427
ARX_40,0.07803830320386612
CHC_100,0.019151601933058888
OAC_20,0.008949346697691068
ACD_90,0.006980490424199033
ARX_10,0.006264542688383748
APR_50,0.005548594952568463
APR_40,0.0051906210846608195
APR_70,0.004295686414891713
APR_80,0.004295686414891713
APR_60,0.004116699480937892
APR_30,0.004116699480937892
ACD_80,0.00393771254698407
APR_20,0.0030427778772149634
MARSTAT,0.001431895471630571
APR_10,0.0008949346697691068
SEX,0.0
PAR_10,0.0
HAP_10C,0.0
LIVARR08,0.0
TTLINCG1,0.0
FAMINCG1,0.0
PRV,0.0
AGEGR10,0.0
