segment_type,segment_value_1,segment_value_2,unweighted_count,weighted_count,avg_predicted_risk,high_priority_weighted_count,high_priority_rate
PRA_10GR x HAP_10C,Cardiovascular disease,20 to 29 hours,1,3503.2104,0.943455159664154,3503.2104,1.0
PRA_10GR x HAP_10C,Arthritis,50 hours or more,4,8683.7029,0.9239541150849403,8683.7029,1.0
PRA_10GR x HAP_10C,Mental illness,50 hours or more,7,18838.6075,0.9187373058811812,18838.6075,1.0
PRA_10GR x HAP_10C,Aging or frailty,50 hours or more,4,684.1274999999999,0.9174774691316964,684.1274999999999,1.0
PRA_10GR x HAP_10C,Alzheimer's disease or dementia,50 hours or more,2,1693.0479,0.9086324451576065,1693.0479,1.0
PRV x HAP_10C,British Columbia,50 hours or more,49,56988.3608,0.9067276464344411,56988.3608,1.0
HAP_10C x TTLINCG1,30 to 39 hours,"$80,000 to $99,999",15,10973.559100000002,0.9016361310549266,10973.559100000002,1.0
PRA_10GR x HAP_10C,Cancer,20 to 29 hours,1,403.2402,0.894609272480011,403.2402,1.0
HAP_10C x TTLINCG1,30 to 39 hours,"$60,000 to $79,999",33,30850.9796,0.8933970545066369,30850.9796,1.0
PRV x HAP_10C,Alberta,50 hours or more,47,45738.89900000001,0.8932077328784006,45738.89900000001,1.0
PRA_10GR x HAP_10C,Back problems,50 hours or more,2,7766.3696,0.8928806335714907,7766.3696,1.0
PRV x HAP_10C,British Columbia,30 to 39 hours,31,35866.0376,0.8920919709361435,35866.0376,1.0
HAP_10C x TTLINCG1,50 hours or more,"$40,000 to $59,999",91,76675.00630000001,0.8901251878974001,73101.67210000001,0.9533963624858548
PRA_10GR x HAP_10C,Aging or frailty,30 to 39 hours,2,2561.101,0.8901166855664983,2561.101,1.0
PRA_10GR x HAP_10C,Arthritis,40 to 49 hours,2,1015.3158,0.8896690923231512,1015.3158,1.0
PRA_10GR x HAP_10C,Other,50 hours or more,31,24799.6108,0.8871703740858843,24629.001099999998,0.993120468648645
PRV x HAP_10C,Saskatchewan,50 hours or more,31,12160.344700000001,0.8865584519498243,12011.4693,0.9877573042810208
HAP_10C x TTLINCG1,50 hours or more,"$80,000 to $99,999",23,16329.2327,0.8850685251942421,14721.4944,0.9015423241534184
PRV x HAP_10C,British Columbia,20 to 29 hours,61,70383.2883,0.8840260736009237,68935.63369999999,0.979431841919213
PRV x HAP_10C,Quebec,50 hours or more,35,58159.4094,0.8835584564461735,56668.55189999999,0.9743660137649197
PRV x HAP_10C,Prince Edward Island,30 to 39 hours,9,706.6593,0.8830435131460775,706.6593,1.0
PRA_10GR x HAP_10C,Arthritis,30 to 39 hours,4,5841.537,0.8826001489692871,5841.537,1.0
HAP_10C x TTLINCG1,50 hours or more,"$20,000 to $39,999",125,124291.10250000001,0.8804220761912961,123971.61739999999,0.9974295416681174
HAP_10C x TTLINCG1,50 hours or more,"$120,000 or more",17,13534.410799999998,0.8794360380412897,13534.410799999998,1.0
PRA_10GR x HAP_10C,Arthritis,20 to 29 hours,7,5216.4918,0.8790521983404096,5216.4918,1.0
PRA_10GR x HAP_10C,Aging or frailty,40 to 49 hours,3,1669.9596000000001,0.8785841271590291,1669.9596000000001,1.0
HAP_10C x TTLINCG1,50 hours or more,"$100,000 to $119,999",18,14829.9855,0.8774866909291585,14829.9855,1.0
PRV x HAP_10C,Newfoundland and Labrador,50 hours or more,32,6308.2953,0.8753246874433981,6308.2953,1.0
PRV x HAP_10C,Nova Scotia,50 hours or more,55,24328.1517,0.8745145254028204,23957.8529,0.9847789998777423
PRV x HAP_10C,Prince Edward Island,40 to 49 hours,11,1131.4197,0.8743018470447699,1039.968,0.9191708434986594
PRA_10GR x HAP_10C,Cancer,40 to 49 hours,2,1031.3018,0.8734773982614197,1031.3018,1.0
PRA_10GR x HAP_10C,Other,30 to 39 hours,18,18781.680600000003,0.8733072491043227,18351.034600000003,0.977070954981526
HAP_10C x TTLINCG1,50 hours or more,"$60,000 to $79,999",48,35089.2799,0.8727821074767484,35089.2799,1.0
PRV x HAP_10C,Ontario,40 to 49 hours,55,101719.27309999998,0.8721959276388891,101719.27309999998,1.0
HAP_10C x TTLINCG1,30 to 39 hours,"$20,000 to $39,999",61,51948.7455,0.87186682110313,51518.0995,0.991710175176415
PRA_10GR x HAP_10C,Cancer,30 to 39 hours,2,1756.3377,0.8718016484423003,1756.3377,1.0
PRA_10GR x HAP_10C,Back problems,20 to 29 hours,2,3176.2405,0.8715179659052251,3176.2405,1.0
PRA_10GR x HAP_10C,Missing,50 hours or more,409,395265.88759999996,0.8708643293658713,384033.9952,0.9715839571479379
PRV x HAP_10C,Prince Edward Island,50 hours or more,17,2402.1067000000003,0.8687493662787209,2285.2259,0.9513423779218465
PRV x HAP_10C,Newfoundland and Labrador,40 to 49 hours,17,3975.2378,0.8670234531815771,3975.2378,1.0
PRV x HAP_10C,Manitoba,30 to 39 hours,17,7444.4544000000005,0.8666759782728781,7013.8084,0.9421521072115104
PRV x HAP_10C,Ontario,50 hours or more,121,224452.9062,0.8664271459054054,220025.60199999998,0.9802751308728656
PRA_10GR x HAP_10C,Injury from an accident,10 to 19 hours,3,844.4681,0.865303479746151,844.4681,1.0
PRA_10GR x HAP_10C,Injury from an accident,20 to 29 hours,5,2070.4595,0.8652560480404994,2070.4595,1.0
HAP_10C x TTLINCG1,50 hours or more,"Less than $20,000",143,183176.95279999997,0.8635316362016988,177275.0083,0.967780092365419
HAP_10C x TTLINCG1,40 to 49 hours,"$40,000 to $59,999",55,43229.4475,0.8628296542315275,43229.4475,1.0
PRV x HAP_10C,Alberta,30 to 39 hours,20,27345.715999999997,0.861695811123092,27345.715999999997,1.0
PRA_10GR x HAP_10C,Cardiovascular disease,30 to 39 hours,2,1300.3759,0.8599994986128505,1300.3759,1.0
HAP_10C x TTLINCG1,40 to 49 hours,"$20,000 to $39,999",51,36853.88710000001,0.8588947319275831,36620.1553,0.9936578793068479
HAP_10C x TTLINCG1,20 to 29 hours,"$100,000 to $119,999",26,20401.2356,0.8586217543242746,19833.180099999998,0.9721558286401046
PRA_10GR x HAP_10C,Cardiovascular disease,40 to 49 hours,2,2948.6318,0.8566929024493252,2948.6318,1.0
PRV x HAP_10C,Nova Scotia,30 to 39 hours,19,5569.1278,0.8553242295527179,5569.1278,1.0
HAP_10C x TTLINCG1,20 to 29 hours,"$40,000 to $59,999",105,87568.39090000001,0.8547992768727807,83392.88150000002,0.9523171619680865
PRA_10GR x HAP_10C,Other,20 to 29 hours,52,48786.716700000004,0.8546699655825283,46600.82369999999,0.9551949147666252
PRV x HAP_10C,New Brunswick,50 hours or more,43,10307.593300000002,0.8503433166445845,10136.9836,0.9834481537023777
PRA_10GR x HAP_10C,Missing,40 to 49 hours,179,177470.92440000002,0.84802202663166,169437.20729999998,0.9547322068267764
PRV x HAP_10C,Saskatchewan,30 to 39 hours,13,5804.730500000001,0.8476760481207478,5804.730500000001,1.0
PRA_10GR x HAP_10C,Cancer,50 hours or more,4,5572.0432,0.8467068173276641,5572.0432,1.0
HAP_10C x TTLINCG1,20 to 29 hours,"Less than $20,000",125,158333.44490000003,0.8448656506919937,154982.37470000001,0.9788353610185361
PRA_10GR x HAP_10C,Missing,30 to 39 hours,186,191478.7298,0.8428251623386029,182969.76249999998,0.9555618145739339
PRV x HAP_10C,Saskatchewan,20 to 29 hours,41,14946.972000000002,0.8416396528337023,13761.715400000001,0.9207025610270763
PRV x HAP_10C,Manitoba,20 to 29 hours,41,15381.711399999998,0.8395702504406358,15139.5513,0.9842566217956736
PRA_10GR x HAP_10C,Missing,20 to 29 hours,463,446603.5281,0.8383998542294131,425468.0341,0.9526750402310582
PRV x HAP_10C,Ontario,20 to 29 hours,117,218327.2733,0.838024706372126,209749.39169999998,0.960710902168355
PRA_10GR x HAP_10C,Mental illness,30 to 39 hours,7,8933.4648,0.8377049501213509,8933.4648,1.0
HAP_10C x TTLINCG1,40 to 49 hours,"$60,000 to $79,999",26,15500.0124,0.8369338520501834,15089.366399999999,0.9735067308720348
HAP_10C x TTLINCG1,20 to 29 hours,"$60,000 to $79,999",70,61673.4653,0.8363312535115437,55674.1736,0.9027249130429517
HAP_10C x TTLINCG1,40 to 49 hours,"$80,000 to $99,999",12,12209.604900000002,0.8359583520531646,11953.106400000002,0.9789920720530441
HAP_10C x TTLINCG1,20 to 29 hours,"$80,000 to $99,999",42,30482.6185,0.8356846520913922,30312.674,0.994424871997135
PRV x HAP_10C,Newfoundland and Labrador,30 to 39 hours,15,3532.8998,0.8355333193111265,3532.8998,1.0
PRV x HAP_10C,New Brunswick,20 to 29 hours,40,9570.784800000001,0.8348095312448871,9009.009600000001,0.9413031207221375
PRV x HAP_10C,Quebec,30 to 39 hours,24,36077.4299,0.8341358159804484,36077.4299,1.0
HAP_10C x TTLINCG1,30 to 39 hours,"$40,000 to $59,999",39,36856.587400000004,0.8339365598281356,34288.62530000001,0.9303255596582988
HAP_10C x TTLINCG1,40 to 49 hours,"Less than $20,000",54,85799.36610000001,0.8323603901863674,77230.9737,0.9001345488961601
PRV x HAP_10C,Nova Scotia,20 to 29 hours,67,21672.1306,0.8312467395894393,20226.869599999998,0.9333124635193921
HAP_10C x TTLINCG1,20 to 29 hours,"$20,000 to $39,999",152,143729.4782,0.8307041216517356,134668.75770000002,0.9369599012431395
PRV x HAP_10C,Ontario,30 to 39 hours,53,104583.2784,0.8303370466345722,96074.31109999999,0.9186393137585941
HAP_10C x TTLINCG1,30 to 39 hours,"$120,000 or more",7,5258.2309000000005,0.8302631422310058,5258.2309000000005,1.0
PRV x HAP_10C,Alberta,20 to 29 hours,51,62991.6033,0.8297199501639008,59413.9129,0.9432036936262583
PRV x HAP_10C,Saskatchewan,40 to 49 hours,13,4030.2843,0.8285893530067504,3819.0308999999997,0.9475834992583524
PRV x HAP_10C,New Brunswick,30 to 39 hours,21,5975.1516,0.8250688841191697,5975.1516,1.0
PRV x HAP_10C,Manitoba,50 hours or more,35,23079.903400000003,0.8247535183209359,18402.2277,0.7973268943577988
PRV x TTLINCG1,New Brunswick,"$100,000 to $119,999",17,2714.7894,0.824433445718441,2447.6207000000004,0.9015876885330406
PRV x HAP_10C,Quebec,20 to 29 hours,51,92740.80500000001,0.8243064374547798,86112.96689999998,0.9285337441269785
HAP_10C x TTLINCG1,40 to 49 hours,"$120,000 or more",8,5100.952300000001,0.8242147830166238,4532.0232,0.8884661007318182
PRA_10GR x HAP_10C,Back problems,40 to 49 hours,2,3636.4507000000003,0.8241313399473505,3636.4507000000003,1.0
PRV x HAP_10C,Prince Edward Island,20 to 29 hours,20,2723.6308999999997,0.8236374449218071,2723.6308999999997,1.0
PRV x HAP_10C,Alberta,40 to 49 hours,19,26317.9371,0.8215411583032765,22688.3225,0.8620859003420902
HAP_10C x TTLINCG1,40 to 49 hours,"$100,000 to $119,999",5,4827.2374,0.821226302305241,3612.7495000000004,0.7484093282837095
PRV x HAP_10C,Manitoba,40 to 49 hours,13,5976.095700000001,0.8210791536087593,5976.095700000001,1.0
PRA_10GR x HAP_10C,Arthritis,10 to 19 hours,8,6428.7728,0.8208571498286608,6428.7728,1.0
PRV x HAP_10C,Nova Scotia,40 to 49 hours,26,6993.2825,0.8191812773258403,6736.784,0.9633221595152204
PRV x TTLINCG1,Prince Edward Island,"$100,000 to $119,999",3,175.7955,0.8179682075506884,153.36790000000002,0.8724222178610944
HAP_10C x TTLINCG1,30 to 39 hours,"Less than $20,000",60,88816.24099999998,0.8176615679038948,84199.3073,0.9480170107627051
PRV x HAP_10C,Quebec,40 to 49 hours,20,26820.6194,0.8167728627203417,24776.9493,0.9238022780338921
PRA_10GR x HAP_10C,Mental illness,40 to 49 hours,4,4176.8657,0.8161318370242843,4176.8657,1.0
PRV x HAP_10C,Newfoundland and Labrador,20 to 29 hours,52,10315.076499999997,0.815850099982549,9416.906200000001,0.9129264528479261
HAP_10C x TTLINCG1,30 to 39 hours,"$100,000 to $119,999",7,8201.1418,0.8123102702351963,6877.070299999999,0.8385503467334268
HAP_10C x TTLINCG1,10 to 19 hours,"$80,000 to $99,999",77,52408.615399999995,0.800988443640852,49012.7633,0.9352043156629549
PRV x HAP_10C,New Brunswick,40 to 49 hours,17,2962.6962,0.7991047624727957,2820.4161,0.9519761425420534
