dimension,group_value,unweighted_count,weighted_count,avg_predicted_risk,high_priority_weighted_count,high_priority_rate
PRV,British Columbia,658,720351.0473,0.7522317208862844,562759.9153,0.7812300924796615
PRV,Quebec,630,1060922.459,0.7009711362877888,695388.1976000001,0.655456194466329
PRV,Nova Scotia,522,171488.7388,0.695003000787824,107172.9724,0.6249563274530304
PRV,Newfoundland and Labrador,374,83298.9933,0.6903871030946671,54661.552500000005,0.6562090408840511
PRV,Ontario,1267,2414537.3723999998,0.6807121925723784,1526129.763,0.6320588699288009
PRV,Prince Edward Island,233,26800.425900000002,0.6667539722700953,15554.035399999999,0.580365232180881
PRV,Alberta,556,647759.4005999999,0.6533804176264587,398194.4443,0.6147258440883521
PRV,New Brunswick,461,120133.2632,0.6508456250427936,68670.722,0.5716212160629962
PRV,Saskatchewan,455,174910.1322,0.645614883641103,98073.36930000002,0.5607071932680181
PRV,Manitoba,431,231639.625,0.6455866679044411,126358.1112,0.5454943695406173
HAP_10C,50 hours or more,465,463925.9705,0.874819806513087,452523.4684,0.9754217206514416
HAP_10C,30 to 39 hours,222,232905.48529999997,0.8464119624135276,223965.87199999997,0.9616169911649565
HAP_10C,40 to 49 hours,211,203520.5077,0.8437331225008731,192267.822,0.9447098190390373
HAP_10C,20 to 29 hours,541,519053.27609999996,0.8400949694161203,494489.5882,0.9526759794590574
HAP_10C,10 to 19 hours,991,1041331.5534,0.7043693156910444,765843.1856,0.7354460575975859
HAP_10C,Less than 10 hours,3157,3191104.6646999996,0.6089947202110044,1523873.1468,0.4775378143052106
TTLINCG1,"$100,000 to $119,999",248,223976.3111,0.7372399505403747,161691.91960000002,0.7219152722263048
TTLINCG1,"$40,000 to $59,999",1165,994253.3981,0.7233026962991069,703229.3487,0.7072938850838814
TTLINCG1,"$80,000 to $99,999",462,377982.07519999996,0.7217701074904331,266817.3383,0.7058994481651547
TTLINCG1,"$60,000 to $79,999",723,637345.5119,0.7105905757897443,440548.34479999996,0.69122373433944
TTLINCG1,"$20,000 to $39,999",1444,1378646.7837,0.6892677526215479,871213.154,0.6319335483899987
TTLINCG1,"$120,000 or more",358,323926.0467,0.6640371381265132,186045.8485,0.57434667695094
TTLINCG1,"Less than $20,000",1187,1715711.3309999998,0.6482853504774015,1023417.1291,0.5964972723607898
PRA_10GR,Arthritis,62,49175.9255,0.79570071027227,43772.034499999994,0.8901110463086253
PRA_10GR,Back problems,29,37959.62440000001,0.7340286261927315,25259.706599999998,0.6654361574768373
PRA_10GR,Cancer,30,31714.6375,0.7226468272848927,22817.170299999998,0.719452344363072
PRA_10GR,Mental illness,91,126555.8147,0.7225279706848708,85136.90109999999,0.6727221605883272
PRA_10GR,Other,451,380500.946,0.7168864584472753,247633.43819999998,0.65080899483493
PRA_10GR,Cardiovascular disease,27,21936.2008,0.7106035019460925,15312.418899999999,0.6980433412152209
PRA_10GR,Alzheimer's disease or dementia,5,6723.7402999999995,0.7084262336950585,5205.5003,0.7741971087134344
PRA_10GR,Injury from an accident,39,50196.0886,0.7026302066752245,34642.8075,0.6901495408548625
PRA_10GR,Aging or frailty,39,38014.822700000004,0.6879581298069671,22968.430699999997,0.6041967071965325
PRA_10GR,Missing,4814,4909063.6572,0.6827583268903511,3150214.6749,0.6417139590927201
AGEGR10,45-54,1155,1264201.2020999999,0.749960847667797,928359.6239,0.7343448355830353
AGEGR10,35-44,660,712187.3551,0.7394768742541988,509836.3652,0.715873936189744
AGEGR10,55-64,1664,1341128.4437000002,0.7271610737764219,971641.8251,0.7244957257183852
AGEGR10,75+,460,357965.8687,0.7071303468289039,254998.04869999998,0.7123529671308018
AGEGR10,65-74,1070,733604.7444,0.7063498350396568,498715.44240000006,0.6798149087870049
AGEGR10,25-34,362,591291.8019,0.6371003762492874,320954.6026,0.5428023888859536
AGEGR10,15-24,216,651462.0418,0.44456666943460216,168457.1751,0.2585832547273977
